cluster,danceability,energy,acousticness,instrumentalness,valence,tempo,popularity
0,0.31897322591559113,0.08119279808337981,0.04370771017863022,-0.12032282282405939,0.4128682369003107,-0.06505138545409575,35.20433965487784
1,0.17043187055257183,0.2540533980369931,-0.25467964425175965,-0.20661644094237513,0.6745198803347313,0.14034309169755332,43.09058971141782
2,-0.05522307581448611,0.23027524669473218,-0.13941941218407164,-0.06956584627151287,0.11632688952930588,0.05183284402408219,46.01880582980724
3,0.053674650329185294,-0.012956225500572238,0.058843020535269894,-0.2888192936935234,0.11722453659292614,-0.08441989485734387,55.02475577938232
4,0.27058743586210887,0.23720990676669101,-0.2753446919558342,-0.10390248587353902,-0.036814317617433395,0.011184430135424639,45.442649712174585
5,0.13892831112402373,-0.3469429449067395,0.25369382314798006,-0.17915120655601685,-0.029570556332914066,-0.05359556751018943,49.89226385352249
6,-0.34437120322655734,-0.008583608899995975,-0.049956361098160915,0.3191123724093397,-0.27187736861006784,0.03130413722176883,43.49697622400795
7,-0.39268814877725905,0.24779062567836524,-0.3036102539828753,0.42806775833129185,-0.4824888591995521,0.09676618931800368,34.58679206706195
8,-0.20027095682860865,0.25087263825903516,-0.29267105559541406,-0.08606741490479387,-0.21835830368830622,0.1291731574709624,50.564876957494405
9,-0.04582622104921213,0.33523859727218414,-0.1851867157138451,0.9617983379106184,-0.16200534473683348,0.14395409653349087,34.29417591125198
10,0.18289295274776657,-0.06483493116409662,-0.012998686083306376,-0.2583234055844603,0.08639301723785568,-0.0226305378974945,50.95474035254883
11,-0.27018062211934224,-0.4337929680192855,0.5629577976890486,0.4895101685175051,-0.017671722930704414,-0.09243327351755215,33.98788304504346
